INDEX,NAME,ADDRESS,PHONE_NUMBER,RATING,REVIEWS,PRICE,TYPE,OPERATING_HOURS,GOOGLE_MAPS_LINK,LATITUDE,LONGITUDE
1,Lê Phin,"259 E 10th St, New York, NY 10009",(929) 422-3972,4.7,437,$1–10,Coffee shop,Closed · Opens 9 AM,https://www.google.com/maps/place/?q=place_id:ChIJU_tU6kpZwokR-pX4kn5VSBA,40.7285073,-73.9834905
2,La Cabra Bakery,"152 2nd Ave, New York, NY 10003",-,4.7,1514,$10–20,Coffee shop,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJT994RulZwokRdgqQX0zc3QY,40.729445899999995,-73.9868353
3,Dear Coffee,"1246 Lexington Ave, New York, NY 10028",-,4.7,298,$1–10,Coffee shop,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJc5JbTQBZwokRoL3-gj8gCS8,40.7781549,-73.9567473
4,Coffee Project New York | East Village,"239 E 5th St, New York, NY 10003",(212) 228-7888,4.6,813,$$,Coffee shop,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJ_dckWptZwokR_LkU9WxPNZ4,40.7270884,-73.98938199999999
5,Cafe Hatou,"Lower Level, 875 3rd Ave Store D, New York, NY 10022",-,4.6,59,$1–10,Coffee shop,Closed · Opens 8 AM Mon,https://www.google.com/maps/place/?q=place_id:ChIJW7wU9epZwokRADGJmBNcoas,40.7571905,-73.9691844
6,Dante NYC,"79-81 MacDougal St, New York, NY 10012",(212) 982-5275,4.5,2711,$$$,Cafe,Closed · Opens 10 AM,https://www.google.com/maps/place/?q=place_id:ChIJUw68EZJZwokRJ15RD_T4OTw,40.7288417,-74.0016444
7,787 Coffee,"101 2nd Ave, New York, NY 10003",(646) 838-9890,4.9,2783,$1–10,Coffee shop,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJD7LwAXpZwokR_qmGocyhRJQ,40.7274023,-73.98884079999999
8,Hanamizuki Cafe,"143 W 29th St, New York, NY 10001",(212) 695-5533,4.5,577,$10–20,Cafe,Closed · Opens 11 AM,https://www.google.com/maps/place/?q=place_id:ChIJhfKwda9ZwokRoibXlAvU0Ig,40.7475427,-73.9916034
9,Caffe Reggio,"119 MacDougal St, New York, NY 10012",(212) 475-9557,4.3,2038,$10–20,Cafe,Closed · Opens 9 AM,https://www.google.com/maps/place/?q=place_id:ChIJr4J2gZFZwokRA2y5p4UfH8I,40.7303079,-74.0003706
10,ACRE,"64 Meserole Ave, Brooklyn, NY 11222",(718) 954-9074,4.7,563,$20–30,Japanese restaurant,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJi7zDhGVZwokRwoHkVROLwlk,40.726281199999995,-73.9546988
11,Coppola Cafe,"171 W 4th St, New York, NY 10014",(929) 430-9955,4.6,423,$1–10,Cafe,Open · Closes 7 PM,https://www.google.com/maps/place/?q=place_id:ChIJURYbNaZZwokRmn6eJrWBk8U,40.7323234,-74.0015222
12,Knock Out Cafe NY,"530 E 13th St Store B, New York, NY 10009",-,4.8,75,$1–10,Coffee shop,Closed · Opens 9 AM,https://www.google.com/maps/place/?q=place_id:ChIJIYwtd5tZwokRMrZ9xwLzM0g,40.7290498,-73.9795129
13,Union Square Cafe,"101 E 19th St, New York, NY 10003",(212) 243-4020,4.6,2361,$50–100,New American restaurant,Closed · Opens 11 AM,https://www.google.com/maps/place/?q=place_id:ChIJxTHke6JZwokRCLWVd99eDBw,40.7377702,-73.9878767
14,Little Canal,"26 Canal St, New York, NY 10002",(917) 472-7479,4.3,519,$10–20,Restaurant,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJEebNoSlawokRcf3d3BZhPzM,40.714310499999996,-73.99042419999999
15,Lady Wong Patisserie East Village,"332 E 9th St, New York, NY 10003",(646) 422-7189,4.6,497,$$,Pastry shop,Closed · Opens 11 AM,https://www.google.com/maps/place/?q=place_id:ChIJB7MDsmJZwokRke4QTDDokko,40.7285086,-73.9861516
16,Kinokuniya New York,"1073 6th Ave 2nd Floor, New York, NY 10018",(212) 869-1700,4.7,9259,-,Book store,Closed · Opens 11 AM,https://www.google.com/maps/place/?q=place_id:ChIJn0BhwP5YwokRTZw5De7Ti20,40.754107,-73.9849938
17,Breads Bakery,"18 E 16th St, New York, NY 10003",(212) 633-2253,4.6,2467,$10–20,Cafe,Open · Closes 8 PM,https://www.google.com/maps/place/?q=place_id:ChIJcWebfphZwokRRrPNZD7byJw,40.736856499999995,-73.9916831
18,Voyager Espresso,"110 William St Lower Level, New York, NY 10038",(212) 227-2744,4.9,506,$1–10,Coffee shop,Closed · Opens 7:30 AM Mon,https://www.google.com/maps/place/?q=place_id:ChIJuZyP_hdawokRpnBP2rMI9Pk,40.708841799999995,-74.0070094
19,Fujiissa,"330 5th Ave, New York, NY 10001",-,4.8,57,$1–10,Coffee shop,Opens soon · 8 AM,https://www.google.com/maps/place/?q=place_id:ChIJw3KENg1ZwokRaI1vxJdQUCo,40.747606499999996,-73.9854071
20,Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",(510) 661-3510,4.4,1188,$10–20,Coffee shop,Open · Closes 7 PM,https://www.google.com/maps/place/?q=place_id:ChIJi_eyi6pZwokRFvY-ucXUXEk,40.75297,-73.98420999999999
